PalimpsestURN,PalimpsestImageReference
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.8,"urn:cite:ap:apimg.140r-133v_Arch55r_Sinar_pseudo_no-veil:0.1221,0.5026,0.3534,0.3368"
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.8,"urn:cite:ap:apimg.140r-133v_Arch55r_Sinar_pseudo_no-veil:0.4545,0.0968,0.3003,0.7479"
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.9,"urn:cite:ap:apimg.112r-115v_Arch56r_Sinar_pseudo_no-veil:0.1431,0.0938,0.3093,0.7487"
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.8,"urn:cite:ap:apimg.140v-133r_Arch55v_Sinar_pseudo_no-veil:0.2002,0.105,0.2803,0.3773"
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.9,"urn:cite:ap:apimg.140v-133r_Arch55v_Sinar_pseudo_no-veil:0.1451,0.6062,0.3383,0.2341"
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.10,"urn:cite:ap:apimg.112r-115v_Arch56r_Sinar_pseudo_no-veil:0.4354,0.2836,0.3373,0.5641"
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.9,"urn:cite:ap:apimg.140v-133r_Arch55v_Sinar_pseudo_no-veil:0.5155,0.2356,0.2793,0.5979"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.0,"urn:cite:ap:apimg.149r-154v_Arch57r_Sinar_pseudo_no-veil:0.1121,0.0908,0.2803,0.3113"
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.10,"urn:cite:ap:apimg.112v-115r_Arch56v_Sinar_pseudo_no-veil:0.1712,0.0855,0.3233,0.7629"
urn:cts:greekLit:tlg0552.tlg001.ap:1.lemmata.11,"urn:cite:ap:apimg.112v-115r_Arch56v_Sinar_pseudo_no-veil:0.4885,0.1575,0.3333,0.6857"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.1,"urn:cite:ap:apimg.149r-154v_Arch57r_Sinar_pseudo_no-veil:0.1041,0.4006,0.3263,0.4314"
