PalimpsestURN,PalimpsestImageReference
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.1,"urn:cite:ap:apimg.149v-154r_Arch57v_Sinar_pseudo_no-veil:0.1902,0.0818,0.3323,0.7712"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.1,"urn:cite:ap:apimg.149r-154v_Arch57r_Sinar_pseudo_no-veil:0.4244,0.075,0.3343,0.7517"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.9,"urn:cite:ap:apimg.113r-114v_Arch60r_Sinar_pseudo_no-veil:0.4545,0.7194,0.2943,0.1245"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.11,"urn:cite:ap:apimg.123v-118r_Arch61v_Heiberg_visible_stitch:0.1832,0.036,0.3193,0.1808"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.13,"urn:cite:ap:apimg.123v-118r_Arch61v_Sinar_pseudo_no-veil:0.4945,0.3518,0.3203,0.4531"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.1,"urn:cite:ap:apimg.149v-154r_Arch57v_Sinar_pseudo_no-veil:0.5405,0.09,0.2953,0.6459"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.7,"urn:cite:ap:apimg.cambridge_verso_white_registered:0.5175,0.0923,0.2943,0.3848"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.8,"urn:cite:ap:apimg.113r-114v_Arch60r_Sinar_pseudo_no-veil:0.1391,0.0855,0.2933,0.7607"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.16,"urn:cite:ap:apimg.039r-0000_Arch63r_Sinar_pseudo_no-veil:0.4274,0.0855,0.3463,0.4441"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.2,"urn:cite:ap:apimg.149v-154r_Arch57v_Sinar_pseudo_no-veil:0.5175,0.7314,0.3223,0.1028"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.2,"urn:cite:ap:apimg.150r-153v_Arch58r_Sinar_pseudo_no-veil:0.4404,0.3271,0.3243,0.5146"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.6,"urn:cite:ap:apimg.cambridge_verso_white_registered:0.1471,0.0863,0.3313,0.1935"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.11,"urn:cite:ap:apimg.123r-118v_Arch61r_Sinar_pseudo_no-veil:0.4434,0.3323,0.3323,0.4171"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.13,"urn:cite:ap:apimg.116r-111v_Arch62r_Sinar_pseudo_no-veil:0.4575,0.0758,0.2913,0.5574"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.2,"urn:cite:ap:apimg.150r-153v_Arch58r_Sinar_pseudo_no-veil:0.0911,0.3248,0.3443,0.5109"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.12,"urn:cite:ap:apimg.123v-118r_Arch61v_Sinar_pseudo_no-veil:0.1642,0.3533,0.3193,0.4389"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.15,"urn:cite:ap:apimg.039r-0000_Arch63r_Sinar_pseudo_no-veil:0.1091,0.081,0.3393,0.4434"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.2,"urn:cite:ap:apimg.150v-153r_Arch58v_Sinar_pseudo_no-veil:0.2102,0.0893,0.3183,0.5649"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.12,"urn:cite:ap:apimg.123v-118r_Arch61v_Heiberg_visible_stitch:0.5115,0.039,0.2973,0.2468"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.13,"urn:cite:ap:apimg.123v-118r_Arch61v_Heiberg_visible_stitch:0.5115,0.2783,0.2823,0.117"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.14,"urn:cite:ap:apimg.116r-111v_Arch62r_Sinar_pseudo_no-veil:0.4184,0.6129,0.3303,0.0968"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.3,"urn:cite:ap:apimg.150v-153r_Arch58v_Sinar_pseudo_no-veil:0.5305,0.0923,0.3123,0.7479"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.8,"urn:cite:ap:apimg.113r-114v_Arch60r_Sinar_pseudo_no-veil:0.4525,0.0863,0.2933,0.6287"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.10,"urn:cite:ap:apimg.123r-118v_Arch61r_Heiberg_visible_stitch:0.0901,0.006,0.3293,0.3751"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.11,"urn:cite:ap:apimg.123r-118v_Arch61r_Heiberg_visible_stitch:0.4404,0,0.3213,0.3706"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.13,"urn:cite:ap:apimg.116r-111v_Arch62r_Sinar_pseudo_no-veil:0.1161,0.0803,0.3133,0.7382"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.5,"urn:cite:ap:apimg.cambridge_recto_white_registered:0.1572,0.069,0.2953,0.3998"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.10,"urn:cite:ap:apimg.113v-114r_Arch60v_Sinar_pseudo_no-veil:0.4995,0.0705,0.3133,0.7682"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.10,"urn:cite:ap:apimg.123r-118v_Arch61r_Sinar_pseudo_no-veil:0.1211,0.3413,0.3033,0.1628"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.14,"urn:cite:ap:apimg.116v-111r_Arch62v_Sinar_pseudo_no-veil:0.1972,0.0428,0.3013,0.8042"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.5,"urn:cite:ap:apimg.cambridge_recto_white_registered:0.4635,0.0668,0.3203,0.3983"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.14,"urn:cite:ap:apimg.116v-111r_Arch62v_Sinar_pseudo_no-veil:0.5055,0.0428,0.3063,0.5776"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.9,"urn:cite:ap:apimg.113v-114r_Arch60v_Sinar_pseudo_no-veil:0.1862,0.0915,0.3033,0.3458"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.10,"urn:cite:ap:apimg.113v-114r_Arch60v_Sinar_pseudo_no-veil:0.1572,0.6009,0.3443,0.2468"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.15,"urn:cite:ap:apimg.116v-111r_Arch62v_Sinar_pseudo_no-veil:0.4985,0.7502,0.3353,0.0765"
urn:cts:greekLit:tlg0552.tlg001.ap:1.corollaries.11,"urn:cite:ap:apimg.123r-118v_Arch61r_Sinar_pseudo_no-veil:0.1141,0.6399,0.3453,0.1448"
