096r-089v_Arch38r_Sinar_true_pack8,urn:cite:fuhc:pal.38r
096v-089r_Arch38v_Sinar_true_pack8,urn:cite:fuhc:pal.38v
099r-101v_Arch51r_Sinar_true_pack8,urn:cite:fuhc:pal.51r
099v-101r_Arch51v_Sinar_true_pack8,urn:cite:fuhc:pal.51v
102r-098v_Arch39r_Sinar_true_pack8,urn:cite:fuhc:pal.39r
102v-098r_Arch39v_Sinar_true_pack8,urn:cite:fuhc:pal.39v
103r-097v_Arch42r_Sinar_true_pack8,urn:cite:fuhc:pal.42r
103v-097r_Arch42v_Sinar_true_pack8,urn:cite:fuhc:pal.42v
108r-107v_Arch48r_Sinar_true_pack8,urn:cite:fuhc:pal.48r
108v-107r_Arch48v_Sinar_true_pack8,urn:cite:fuhc:pal.48v
109r-106v_Arch45r_Sinar_true_pack8,urn:cite:fuhc:pal.45r
109v-106r_Arch45v_Sinar_true_pack8,urn:cite:fuhc:pal.45v
110r-105v_Arch27r_Sinar_true_pack8,urn:cite:fuhc:pal.27r
110v-105r_Arch27v_Sinar_true_pack8,urn:cite:fuhc:pal.27v
112r-115v_Arch56r_Sinar_true_pack8,urn:cite:fuhc:pal.56r
112v-115r_Arch56v_Sinar_true_pack8,urn:cite:fuhc:pal.56v
113r-114v_Arch60r_Sinar_true_pack8,urn:cite:fuhc:pal.60r
113v-114r_Arch60v_Sinar_true_pack8,urn:cite:fuhc:pal.60v
116r-111v_Arch62r_Sinar_true_pack8,urn:cite:fuhc:pal.62r
116v-111r_Arch62v_Sinar_true_pack8,urn:cite:fuhc:pal.62v
123r-118v_Arch61r_Sinar_true_pack8,urn:cite:fuhc:pal.61r
123v-118r_Arch61v_Sinar_true_pack8,urn:cite:fuhc:pal.61v
124r-117v_Arch67r_Sinar_true_pack8,urn:cite:fuhc:pal.67r
124v-117r_Arch67v_Sinar_true_pack8,urn:cite:fuhc:pal.67v
125r-132v_Arch33r_Sinar_true_pack8,urn:cite:fuhc:pal.33r
125v-132r_Arch33v_Sinar_true_pack8,urn:cite:fuhc:pal.33v
126r-131v_Arch34r_Sinar_true_pack8,urn:cite:fuhc:pal.34r
126v-131r_Arch34v_Sinar_true_pack8,urn:cite:fuhc:pal.34v
127r-130v_Arch11r_Sinar_true_pack8,urn:cite:fuhc:pal.11r
127v-130r_Arch11v_Sinar_true_pack8,urn:cite:fuhc:pal.11v
128r-129v_Arch10r_Sinar_true_pack8,urn:cite:fuhc:pal.10r
128v-129r_Arch10v_Sinar_true_pack8,urn:cite:fuhc:pal.10v
139r-134v_Arch49r_Sinar_true_pack8,urn:cite:fuhc:pal.49r
139v-134r_Arch49v_Sinar_true_pack8,urn:cite:fuhc:pal.49v
140r-133v_Arch55r_Sinar_true_pack8,urn:cite:fuhc:pal.55r
140v-133r_Arch55v_Sinar_true_pack8,urn:cite:fuhc:pal.55v
147r-142v_Arch40v_Sinar_true_pack8,urn:cite:fuhc:pal.40v
