Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3@ΕΘ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.3@ΔΘ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3@ΜΝΞ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.3@ΝΜΞ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.4@περιλείμματι[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.4@περιλήμματι[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.4@περιλείμματι[3],disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.4@περιλίμματι[3]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.5@περιλείμματι[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.5@περιλήμματι[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.5@περιλείμματι[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.5@περιλήμματι[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8@τῆ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.corollaries.8@τὴν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8@σχήματι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.corollaries.8@τμήματι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.corollaries.8@δὲ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.corollaries.8@δὲ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8@τὰς,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.corollaries.8@τῆς
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8@περίλειμμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.corollaries.8@περίλημμα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8@ΑΕΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.corollaries.8@ΕΑΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.corollaries.9@δὲ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.corollaries.9@δὲ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9@γίνεται,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.corollaries.9@γὰρ ἐστὶ
