eutociusPassage,archimedesPassage,Order
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.plato,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,032
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,043
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.7,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.7,054
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.8,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8,014
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.9,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9,025
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.hero,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,033
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2,044
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8,055
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.9,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9,015
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.10,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.10,026
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,034
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.3,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.3,045
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8.lemma,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8,056
