ArchPal Diagram ID, ArchPal Text ID, Heiberg Text ID
"ArchPal_trace092:line(Β,Δ,Η,Θ)","","line(Β,Δ,Η,Θ)"
"ArchPal_trace093:circle(Α,Β,Γ)","","circle(Α,Β,Γ)"
"ArchPal_trace093:polygon(Α,Β,Γ)","","polygon(null0)"
"ArchPal_trace093:polygon(null1)","","polygon(null1)"
"ArchPal_trace093:line(Γ,Δ)","","line(Γ,Δ)"
"ArchPal_trace093:line(Α,Δ)","","line(Α,Δ)"
"ArchPal_trace093:line(Α,Γ)","","line(Α,Γ)"
"ArchPal_trace093:line(Β,Δ)","",""
"ArchPal_trace093:circle(Ζ)","","circle(Ζ)"
"ArchPal_trace094:line(Μ,Ν)","","line(Μ,Ν)"
"ArchPal_trace094:sphere(Β)","","sphere(Β)"
"ArchPal_trace094:conecylinder(Α)","","conecylinder(Α)"
"ArchPal_trace094:circle(Η,Θ)","","circle(Η,Θ)"
"ArchPal_trace094:line(Η,Θ,Λ)","","line(Η,Θ,Λ)"
"ArchPal_trace094:line(Κ,Λ)","","line(Κ,Λ)"
"ArchPal_trace094:cylinder(Γ,Δ,Ε,Ζ)","","cylinder(Γ,Δ,Ε,Ζ)"
"ArchPal_trace095:circle(Α,Β,Γ,Ζ)","","circle(Α,Β,Γ,Ζ)"
"ArchPal_trace095:line(Ζ,Κ)","","line(Ζ,Κ)"
"ArchPal_trace095:line(Δ,Ζ)","","line(Δ,Ζ)"
"ArchPal_trace095:line(Β,Δ)","","line(Β,Δ)"
"ArchPal_trace095:line(Β,Κ)","","line(Β,Κ)"
"ArchPal_trace095:line(Β,Γ)","","line(Β,Γ)"
"ArchPal_trace095:line(Β,Ε)","","line(Β,Ε)"
"ArchPal_trace095:line(Ε,Ζ)","","line(Ε,Ζ)"
"ArchPal_trace095:line(Β,Θ)","","line(Β,Θ)"
"ArchPal_trace095:line(Α,Β)","","line(Α,Β)"
"ArchPal_trace095:line(Γ,Δ)","","line(Γ,Δ)"
"ArchPal_trace095:line(Γ,Ε)","","line(Γ,Ε)"
"ArchPal_trace095:line(Ε,Θ)","","line(Ε,Θ)"
"ArchPal_trace095:line(Α,Θ)","","line(Α,Θ)"
"ArchPal_trace095:line(Α,Κ)","","line(Α,Κ)"
"ArchPal_trace095:cone(Ν)","","cone(Ν)"
"ArchPal_trace095:cone(Μ)","","cone(Μ)"
"ArchPal_trace095:line(Ζ,Θ)","","line(Ζ,Θ)"
"ArchPal_trace096:circle(Α,Β,Γ,Ζ)","","circle(Α,Β,Γ,Ζ)"
"ArchPal_trace096:cone(null0)","","cone(Ν)"
"ArchPal_trace096:line(Γ)","","line(Γ,Δ)"
"ArchPal_trace096:line(Γ,Ε)","","line(Γ,Ε)"
"ArchPal_trace096:line(Δ,Ε)","","line(Δ,Ε)"
"ArchPal_trace096:line(Α,Δ)","","line(Α,Δ)"
"ArchPal_trace096:line(Α,Κ)","","line(Α,Κ)"
"ArchPal_trace096:line(Ζ)","","line(Δ,Ζ)"
"ArchPal_trace096:line(Β)","","line(Β,Δ)"
"ArchPal_trace096:line(Β,Κ)","","line(Β,Κ)"
"ArchPal_trace096:line(Ζ,Κ)","","line(Ζ,Κ)"
"ArchPal_trace096:line(Β,Ε)","","line(Β,Ε)"
"ArchPal_trace096:line(Ε,Ζ)","","line(Ε,Ζ)"
"ArchPal_trace097:circle(Α,Β,Γ,Ν)","","circle(Α,Β,Γ,Ν)"
"ArchPal_trace097:circle(Θ,Κ,Λ,Ξ)","","circle(Θ,Κ,Λ,Ξ)"
"ArchPal_trace097:circle(Ε,Ζ,Η,Ο)","","circle(Ε,Ζ,Η,Ο)"
"ArchPal_trace097:line(ς)","","line(ς)"
"ArchPal_trace097:line(Δ)","","line(Δ)"
"ArchPal_trace097:line(Α,Χ)","","line(Α,Χ)"
"ArchPal_trace097:line(Β,Χ)","","line(Β,Χ)"
"ArchPal_trace097:line(Θ,Ψ)","","line(Θ,Ψ)"
"ArchPal_trace097:line(Κ,Ψ)","","line(Κ,Ψ)"
"ArchPal_trace097:line(Ε,Ω)","","line(Ε,Ω)"
"ArchPal_trace097:line(Ζ,Ω)","","line(Ζ,Ω)"
"ArchPal_trace097:line(Α,Τ)","","line(Α,Τ)"
"ArchPal_trace097:line(Β,Τ)","","line(Β,Τ)"
"ArchPal_trace097:line(Θ,Υ)","","line(Θ,Υ)"
"ArchPal_trace097:line(Κ,Υ)","","line(Κ,Υ)"
"ArchPal_trace097:line(Ε,Φ)","","line(Ε,Φ)"
"ArchPal_trace097:line(Ζ,Φ)","","line(Ζ,Φ)"
"ArchPal_trace097:line(Γ,Χ)","","line(Γ,Χ)"
"ArchPal_trace097:line(Γ,Τ)","","line(Γ,Τ)"
"ArchPal_trace097:line(Π,Τ)","","line(Π,Τ)"
"ArchPal_trace097:line(Ν,Π)","","line(Ν,Π)"
"ArchPal_trace097:line(Λ,Ψ)","","line(Λ,Ψ)"
"ArchPal_trace097:line(Λ,Υ)","","line(Λ,Υ)"
"ArchPal_trace097:line(Ρ,Υ)","","line(Ρ,Υ)"
"ArchPal_trace097:line(Ξ,Ρ)","","line(Ξ,Ρ)"
"ArchPal_trace097:line(Η,Ω)","","line(Η,Ω)"
"ArchPal_trace097:line(Η,Φ)","","line(Η,Φ)"
"ArchPal_trace097:line(Σ,Φ)","","line(Σ,Φ)"
"ArchPal_trace097:line(Ο,Σ)","","line(Ο,Σ)"
"ArchPal_trace098:circle(Δ,Ε,Ζ,Η)","","circle(Δ,Ε,Ζ,Η)"
"ArchPal_trace098:circle(Κ,Μ,Ν)","","circle(Κ,Λ,Μ,Ν)"
"ArchPal_trace098:circle(Α,Β,Γ,Θ)","","circle(Α,Β,Γ,Θ)"
"ArchPal_trace098:line(Δ,Ζ)","","line(Δ,Ζ)"
"ArchPal_trace098:line(Ε,Η)","",""
"ArchPal_trace098:line(Κ,Ρ)","","line(Κ,Ρ)"
"ArchPal_trace098:line(Μ,Ρ)","","line(Μ,Ρ)"
"ArchPal_trace098:line(Ρ)","","line(Λ,Ρ)"
"ArchPal_trace098:line(Ν,Ρ)","","line(Ν,Ρ)"
"ArchPal_trace098:line(Α,Π)","","line(Α,Π)"
"ArchPal_trace098:line(Γ,Π)","","line(Γ,Π)"
"ArchPal_trace098:line(Β,Π)","","line(Β,Π)"
"ArchPal_trace098:line(Θ,Π)","","line(Θ,Π)"
"ArchPal_trace098:line(Ε,Ζ)","","line(Ε,Ζ)"
"ArchPal_trace098:line(Β,Γ)","","line(Β,Γ)"
"ArchPal_trace098:line(Μ)","","line(Λ,Μ)"
