"Number","Type","Image","Folio"
14,"Proposition","urn:cite:ap:apimg.038r-035v_Arch50r_Sinar_pseudo_no-veil@0.1057,0.7275,0.0267,0.0335",urn:cite:fuhc:euch.50r
18,"Proposition","urn:cite:ap:apimg.034v-029r_Arch52v_Sinar_pseudo_no-veil@0.1583,0.5288,0.029,0.0375",urn:cite:fuhc:euch.52v
19,"Proposition","urn:cite:ap:apimg.034v-029r_Arch52v_Sinar_pseudo_no-veil@0.4747,0.6473,0.0293,0.0408",urn:cite:fuhc:euch.52v
20,"Proposition","urn:cite:ap:apimg.0000-100v_Arch53r_Sinar_pseudo_no-veil@0.409,0.3888,0.022,0.0278",urn:cite:fuhc:euch.53r
21,"Proposition","urn:cite:ap:apimg.0000-100r_Arch53v_Sinar_pseudo_no-veil@0.4897,0.4483,0.026,0.031",urn:cite:fuhc:euch.53v
22,"Proposition","urn:cite:ap:apimg.037r-036v_Arch54r_Sinar_pseudo_no-veil@0.4057,0.673,0.0297,0.038",urn:cite:fuhc:euch.54r
24,"Proposition","urn:cite:ap:apimg.140v-133r_Arch55v_Sinar_pseudo_no-veil@0.1433,0.6118,0.0283,0.0418",urn:cite:fuhc:euch.55v
25,"Proposition","urn:cite:ap:apimg.112r-115v_Arch56r_Sinar_pseudo_no-veil@0.44,0.285,0.0263,0.0303",urn:cite:fuhc:euch.56r
37,"Proposition","urn:cite:ap:apimg.113v-114r_Arch60v_Sinar_pseudo_no-veil@0.1563,0.6002,0.0283,0.0325",urn:cite:fuhc:euch.60v
38,"Proposition","urn:cite:ap:apimg.123r-118v_Arch61r_Sinar_pseudo_no-veil@0.1013,0.6433,0.0253,0.0293",urn:cite:fuhc:euch.61r
40,"Proposition","urn:cite:ap:apimg.116r-111v_Arch62r_Sinar_pseudo_no-veil@0.4157,0.6068,0.0237,0.0333",urn:cite:fuhc:euch.62r
2,"Book","urn:cite:ap:apimg.094r-091v_Arch64r_Sinar_pseudo_no-veil@0.214,0.0558,0.0457,0.0378",urn:cite:fuhc:euch.64r
1,"Proposition","urn:cite:ap:apimg.094r-091v_Arch64r_Sinar_pseudo_no-veil@0.414,0.349,0.023,0.0275",urn:cite:fuhc:euch.64r
2,"Proposition","urn:cite:ap:apimg.094v-091r_Arch64v_Sinar_pseudo_no-veil@0.4793,0.2905,0.018,0.0355",urn:cite:fuhc:euch.64v
