ObservationId,DiagramUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team#.104,urn:cite:ap:figures.012@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_011v@0.4995,0.6221,0.0125,0.0113",gamma
urn:cite:openpal:team#.105,urn:cite:ap:figures.012@δ[1],δ,"urn:cite:ecod:codbod8.cb-0008_011v@0.616,0.6156,0.0138,0.015",delta
urn:cite:openpal:team#.106,urn:cite:ap:figures.012@ε[1],ε,"urn:cite:ecod:codbod8.cb-0008_011v@0.5559,0.8371,0.0138,0.0122",epsilon
urn:cite:openpal:team#.107,urn:cite:ap:figures.012@ζ[1],ζ,"urn:cite:ecod:codbod8.cb-0008_011v@0.5647,0.5949,0.0113,0.0066",zeta
urn:cite:openpal:team#.108,urn:cite:ap:figures.012@η[1],η,"urn:cite:ecod:codbod8.cb-0008_011v@0.408,0.716,0.0213,0.0169",eta
urn:cite:openpal:team#.109,urn:cite:ap:figures.012@θ[1],θ,"urn:cite:ecod:codbod8.cb-0008_011v@0.5246,0.8437,0.015,0.0131",theta
urn:cite:openpal:team#.110,urn:cite:ap:figures.012@κ[1],κ,"urn:cite:ecod:codbod8.cb-0008_011v@0.586,0.8456,0.0113,0.0094",kappa
urn:cite:openpal:team#.111,urn:cite:ap:figures.012@λ[1],λ,"urn:cite:ecod:codbod8.cb-0008_011v@0.5233,0.6024,0.015,0.0094",lambda
urn:cite:openpal:team#.112,urn:cite:ap:figures.012@μ[1],μ,"urn:cite:ecod:codbod8.cb-0008_011v@0.5972,0.6052,0.015,0.0094",mu
urn:cite:openpal:team#.113,urn:cite:ap:figures.013@α[1],α,"urn:cite:ecod:codbod8.cb-0008_013v@0.3704,0.3353,0.0188,0.0169",alpha
urn:cite:openpal:team#.114,urn:cite:ap:figures.013@β[1],β,"urn:cite:ecod:codbod8.cb-0008_013v@0.486,0.2535,0.0176,0.015",beta
urn:cite:openpal:team#.115,urn:cite:ap:figures.013@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_013v@0.5814,0.339,0.0163,0.0122",gamma
urn:cite:openpal:team#.116,urn:cite:ap:figures.013@δ[1],δ,"urn:cite:ecod:codbod8.cb-0008_013v@0.4282,0.2873,0.0176,0.0132",delta
urn:cite:openpal:team#.117,urn:cite:ap:figures.013@ε[1],ε,"urn:cite:ecod:codbod8.cb-0008_013v@0.4194,0.2647,0.0188,0.0141",epsilon
urn:cite:openpal:team#.118,urn:cite:ap:figures.013@ζ[1],ζ,"urn:cite:ecod:codbod8.cb-0008_013v@0.545,0.2647,0.0138,0.0122",zeta
urn:cite:openpal:team#.119,urn:cite:ap:figures.013@η[1],η,"urn:cite:ecod:codbod8.cb-0008_013v@0.4847,0.1679,0.0151,0.015",eta
