omittedText,section,folio,order
καὶ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.13,13r,019
τοῦ ΑΓΒΔ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.12,11v,014
τε[1],urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.13,12v,015
ἡ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.13,13r,017
κύκλος,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.15,17r,024
καὶ ὁ ΗΘΚ ἄρα κῶνος ἴσος ἐστὶ τῷ ΑΒΓΔ ῥόμβῳ.,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3,20r,034
ἡ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.7,22v,039
τε[2],urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.13,13r,018
πρὸς Η,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.14,14r,021
ὁ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3,19v,033
εἷς,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.6,22r,037
ἴσον,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.12,27r,050
Μ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.1,30r,061
Οὐκ ἄρα οὐδὲ ἐλάσσων ἡ ἐπιφάνεια τῆς σφαίρας,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.2,32r,069
τοῦ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.4,34r,074
καὶ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.6,35r,079
κέντρον,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9,37r,085
δὴ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.12,40r,095
Ε,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.14,42r,100
ὡς,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2,44v,107
ἔλασσον,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8,54r,121
πρὸς τὴν ἐπὶ τὴν πλευρὰν τοῦ πολυγώνου,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.15,17r,023
"ἡ δὲ τοῦ ΔΒΕ ἐπιφάνεια ἴση ἐστὶν τῇ βάσει τοῦ ΟΠΡ,",urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.4,20v,035
ΓΔ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.9,24v,043
τὰ ἀπὸ τῶν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.9,24v,045
τοῦ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.11,26r,047
ἢ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.15,29r,054
Ο,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.1,31r,063
ἐλάσσονα,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.3,32v,071
ἐστὶν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8,36v,083
ἐστιν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.11,39v,093
ἄρα,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.13,41r,098
"ἤπερ συναμφότερος ἡ ΕΔΒ πρὸς ΔΒ, καὶ ἐστιν συναμφότερος μὲν ἡ ΕΔΒ τρὶς ἡ ΕΔ, η9 δὲ ΒΔ δὶς ἡ ΕΔ, συναμφότερος ἄρα ἡ ΕΔΖ πρὸς ΔΖ μεὶζονα λόγον ἔχει",urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.7,53v,118
ἀπὸ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56r,126
λόγον,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56r,129
ὁ τοῦ ἀπὸ ΑΘ ἐστὶν ἐπὶ τὴν ΘΗ πρὸς τὸ ὑπὸ τῶν ΒΘΓ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56v,132
αἱ τῶν εἰρημένων τμημάτων ἐπιφάνειαι λέγω οὖν,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9,57r,135
δὲ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.15,17r,025
ἐστὶ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.17,18r,029
καὶ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.11,26r,049
πρὸς τὸ ἐγγεγραμμένον,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.1,30r,060
ἐπιφάνειαν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.2,31v,068
τὸ γὰρ ὑπὸ τοῦ πολυγώνου,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9,38r,086
καὶ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.preface,43r,104
ἀπὸ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8,54v,122
Α,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.16,17v,027
τὸ ΒΖ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.18,18v,031
"ὡς ἄρα ἡ ΔΖ πρὸς ΖΒ,",urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.7,23r,040
ἐστὶ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.9,24v,042
κύκλου,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.9,24v,044
ἴσης,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.15,28v,053
τὸν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.16,29v,056
σὺν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.5,34v,075
μείζονα ἄρα λόγον ἔχει ὁ στερεὸς τομεὺς πρὸς τὸν Θ κῶνον,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.14,42r,101
"ὡς ἄρα τὸ ἀπὸ ΚΔ πρὸς τὸ ὑπὸ τῶν ΚΔ, ΑΘ,",urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2,46v,111
τοῦ δὲ τῆς ΑΘ πρὸς ΘΓ διπλασίων,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56r,127
ἀπὸ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56v,131
Ε τῇ ΕΓ πρὸς ὀρθὰς ἡ ΕΚ καὶ ἀπὸ τοῦ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56v,134
γὰρ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.16,29v,057
τὴν αὐτὴν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8,36r,081
τῇ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.11,39r,089
Ν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.11,39v,091
ἡ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.12,40v,096
