Diagram,Notes,Image,Folio
urn:cts:greekLit:tlg0552.tlg008:2.10.6,,"urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.1243,0.4415,0.2713,0.1722",urn:cite:fuhc:euch.15r
urn:cts:greekLit:tlg0552.tlg008:2.10.6,"Heiberg","urn:cite:ap:apimg.046r-043v_Arch15r_Heiberg_visible_stitch@0.1243,0.481,0.2677,0.1243",urn:cite:fuhc:euch.15r
urn:cts:greekLit:tlg0552.tlg008:2.10.7,,"urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.1017,0.5888,0.2967,0.1663",urn:cite:fuhc:euch.15r
urn:cts:greekLit:tlg0552.tlg008:2.10.7,"Heiberg","urn:cite:ap:apimg.046r-043v_Arch15r_Heiberg_visible_stitch@0.1007,0.5863,0.3073,0.1655",urn:cite:fuhc:euch.15r
urn:cts:greekLit:tlg0552.tlg008:2.10.8,,"urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.124,0.7365,0.2703,0.187",urn:cite:fuhc:euch.15r
urn:cts:greekLit:tlg0552.tlg008:2.10.8,"Heiberg","urn:cite:ap:apimg.046r-043v_Arch15r_Heiberg_visible_stitch@0.13,0.7413,0.282,0.1505",urn:cite:fuhc:euch.15r
urn:cts:greekLit:tlg0552.tlg010:1.1,,"urn:cite:ap:apimg.066r-071v_Arch17r_Sinar_pseudo_no-veil@0.0877,0.412,0.3467,0.1685",urn:cite:fuhc:euch.17r
urn:cts:greekLit:tlg0552.tlg010:1.1,"Heiberg","urn:cite:ap:apimg.066r-071v_Arch17r_Heiberg_visible_stitch@0.101,0.4115,0.3363,0.1775",urn:cite:fuhc:euch.17r
urn:cts:greekLit:tlg0552.tlg010:2.1,,"urn:cite:ap:apimg.065r-072v_Arch18r_Sinar_pseudo_no-veil@0.3997,0.2593,0.218,0.1858",urn:cite:fuhc:euch.18r
urn:cts:greekLit:tlg0552.tlg010:2.1,"Heiberg","urn:cite:ap:apimg.065r-072v_Arch18r_Heiberg_visible_stitch@0.4037,0.2648,0.2223,0.1798",urn:cite:fuhc:euch.18r
urn:cts:greekLit:tlg0552.tlg010:3.1,,"urn:cite:ap:apimg.058r-063v_Arch19r_Sinar_pseudo_no-veil@0.3953,0.7013,0.211,0.207",urn:cite:fuhc:euch.19r
urn:cts:greekLit:tlg0552.tlg010:3.1,"Heiberg","urn:cite:ap:apimg.058r-063v_Arch19r_Heiberg_visible_stitch@0.401,0.7028,0.2123,0.1938",urn:cite:fuhc:euch.19r
urn:cts:greekLit:tlg0552.tlg010:4.1,,"urn:cite:ap:apimg.045r-044v_Arch20r_Sinar_pseudo_no-veil@0.0723,0.5285,0.2073,0.1943",urn:cite:fuhc:euch.20r
urn:cts:greekLit:tlg0552.tlg010:4.1,"Heiberg","urn:cite:ap:apimg.045r-044v_Arch20r_Heiberg_visible_stitch@0.0807,0.5243,0.2083,0.197",urn:cite:fuhc:euch.20r
urn:cts:greekLit:tlg0552.tlg010:5.1,"Heiberg","urn:cite:ap:apimg.170r-163v_Arch21r_Heiberg_visible_stitch@0.1997,0.2535,0.169,0.1453",urn:cite:fuhc:euch.21r
urn:cts:greekLit:tlg0552.tlg010:6.1,,"urn:cite:ap:apimg.157r-160v_Arch22r_Sinar_pseudo_no-veil@0.1043,0.5735,0.2983,0.186",urn:cite:fuhc:euch.22r
urn:cts:greekLit:tlg0552.tlg010:7.1,"folio missing",,"23v"
urn:cts:greekLit:tlg0552.tlg010:9.1,,"urn:cite:ap:apimg.048r-041v_Arch25r_Sinar_pseudo_no-veil@0.1377,0.4345,0.22,0.1443",urn:cite:fuhc:euch.25r
