CodBod8 Diagram ID, Heiberg Diagram  ID
"CodBod8_trace010:circle(Α,Β,Γ,Ε,Ζ)","circle(Α,Β,Γ,Ε,Ζ)"
"CodBod8_trace010:rectangle(Θ)","rectangle(Θ)"
"CodBod8_trace010:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace010:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace010:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace010:line(Α,Ε)","line(Α,Ε)"
"CodBod8_trace010:line(Γ,Ζ)","line(Γ,Ζ)"
"CodBod8_trace010:line(Δ,Ε)","line(Δ,Ε)"
"CodBod8_trace010:line(Α,Β)","line(Α,Β)"
"CodBod8_trace010:line(Β,Γ)","line(Β,Γ)"
"CodBod8_trace010:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace010:line(Γ,Δ)","line(Γ,Δ)"
"CodBod8_trace010:line(Α,Δ)","line(Α,Δ)"
"CodBod8_trace010:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace011:circle(Α,Β,Γ,Κ,Λ)","circle(Α,Β,Γ,Κ,Λ)"
"CodBod8_trace011:line(Α,Ε)","line(Α,Ε)"
"CodBod8_trace011:line(Ε,Μ)","line(Ε,Μ)"
"CodBod8_trace011:line(Ε,Κ)","line(Ε,Κ)"
"CodBod8_trace011:line(Κ,Κ)","line(Η,Κ)"
"CodBod8_trace011:line(Ε,Η)","line(Ε,Ν)"
"CodBod8_trace011:line(Ε,Β)","line(Ε,Β)"
"CodBod8_trace011:line(Ε,Ξ)","line(Ε,Ξ)"
"CodBod8_trace011:line(Ε,Λ)","line(Ε,Λ)"
"CodBod8_trace011:line(Ε,Θ)","line(Ε,Ο)"
"CodBod8_trace011:line(Ε,Γ)","line(Ε,Γ)"
"CodBod8_trace011:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace011:line(Α,Κ)","line(Α,Κ)"
"CodBod8_trace011:line(Η,Κ)","line(Κ,Ν)"
"CodBod8_trace011:line(Ξ,Λ)","line(Ξ,Λ)"
"CodBod8_trace011:line(Γ,Λ)","line(Γ,Λ)"
"CodBod8_trace011:line(Ζ,Λ)","line(Ζ,Λ)"
"CodBod8_trace011:line(Η,Κ)","line(Η,Ν)"
"CodBod8_trace011:line(Β,Η)","line(Β,Ν)"
"CodBod8_trace011:line(Β,Ξ)","line(Β,Ξ)"
"CodBod8_trace011:line(Ζ,Ξ)","line(Ζ,Ξ)"
"CodBod8_trace011:line(Α,Μ)","line(Α,Μ)"
"CodBod8_trace011:line(Κ,Μ)","line(Η,Μ)"
"CodBod8_trace011:line(Δ,Κ)","line(Δ,Η)"
"CodBod8_trace011:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace011:line(Ζ,Θ)","line(Ζ,Ο)"
"CodBod8_trace011:line(Γ,Θ)","line(Γ,Ο)"
"CodBod8_trace012:area(Η)","area(Η)"
"CodBod8_trace012:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace012:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace012:line(Α,Β)","line(Α,Β)"
"CodBod8_trace012:line(Γ,Δ)","line(Γ,Δ)"
"CodBod8_trace012:line(Α,Ε)","line(Α,Ε)"
"CodBod8_trace012:line(Α,Θ)","line(Α,Θ)"
"CodBod8_trace012:line(Ε,Θ)","line(Ε,Θ)"
"CodBod8_trace012:line(Ε,Κ)","line(Ε,Κ)"
"CodBod8_trace012:line(Β,Κ)","line(Β,Κ)"
"CodBod8_trace012:line(Γ,Ζ)","line(Γ,Ζ)"
"CodBod8_trace012:line(Γ,Λ)","line(Γ,Λ)"
"CodBod8_trace012:line(Ζ,Λ)","line(Ζ,Λ)"
"CodBod8_trace012:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace012:line(Ζ,Μ)","line(Ζ,Μ)"
"CodBod8_trace012:line(Δ,Μ)","line(Δ,Μ)"
"CodBod8_trace012:circle(Γ,Δ,Ζ,Λ,Μ)","circle(Γ,Δ,Ζ,Λ,Μ)"
"CodBod8_trace012:circle(Α,Β,Ε,Θ,Κ)","circle(Α,Β,Ε,Θ,Κ)"
"CodBod8_trace013:area(Μ)","area(Κ)"
"CodBod8_trace013:circle(Α,Β,Γ,Δ,Θ)","circle(Α,Β,Γ,Δ,Θ)"
"CodBod8_trace013:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace013:line(Α,Δ,Ε)","line(Α,Ε)"
"CodBod8_trace013:line(Γ,Ζ,Θ)","line(Γ,Ζ)"
"CodBod8_trace013:line(Ζ,Η)","line(Ζ,Η)"
"CodBod8_trace013:line(Ε,Η)","line(Ε,Η)"
"CodBod8_trace013:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace013:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace014:line(Η)","line(Η)"
"CodBod8_trace014:circle(Α)","circle(Α)"
"CodBod8_trace014:circle(Β)","circle(Β)"
"CodBod8_trace014:line(Μ,Τ)","line(Κ,Τ)"
"CodBod8_trace014:line(Γ,Τ)","line(Γ,Τ)"
"CodBod8_trace014:line(Ε,Ρ)","line(Ε,Ρ)"
"CodBod8_trace014:line(Λ,Ρ)","line(Λ,Ρ)"
"CodBod8_trace014:line(Δ,Μ)","line(Δ,Κ)"
"CodBod8_trace014:line(Δ,Τ)","line(Δ,Τ)"
"CodBod8_trace014:line(Ε,Ζ)","line(Ε,Ζ)"
"CodBod8_trace014:line(Ζ,Λ)","line(Ζ,Λ)"
"CodBod8_trace014:line(Ε)","line(Ε)"
"CodBod8_trace014:line(Λ)","line(Λ)"
"CodBod8_trace015:circle(Α)","circle(Α)"
"CodBod8_trace015:circle(Β)","circle(Β)"
"CodBod8_trace015:line(Γ)","line(Γ)"
"CodBod8_trace015:line(Ε)","line(Ε)"
"CodBod8_trace015:line(Δ)","line(Δ)"
"CodBod8_trace016:line(Γ)","line(Γ)"
"CodBod8_trace016:line(Ε)","line(Ε)"
"CodBod8_trace016:line(Δ)","line(Β)"
"CodBod8_trace016:circle(Α)","circle(Α)"
"CodBod8_trace016:circle(Β)","circle(Δ)"
"CodBod8_trace017:circle(Λ)","circle(Λ)"
"CodBod8_trace017:circle(Κ)","circle(Κ)"
"CodBod8_trace017:circle(Θ)","circle(Θ)"
"CodBod8_trace017:line(Α,Δ)","line(Α,Δ)"
"CodBod8_trace017:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace017:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace017:line(Ζ,Η)","line(Ζ,Η)"
"CodBod8_trace017:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace017:line(Ε)","line(Γ,Ε)"
"CodBod8_trace017:line(Η)","line(Γ,Η)"
"CodBod8_trace017:line(Α,Η)","line(Α,Η)"
"CodBod8_trace017:line(Ε,Ζ)","line(Ε,Ζ)"
"CodBod8_trace017:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace018:line(Β,Κ)","line(Β,Κ)"
"CodBod8_trace018:line(Κ)","line(Κ)"
"CodBod8_trace018:line(Θ)","line(Θ)"
"CodBod8_trace018:line(Η,Θ)","line(Η,Θ)"
"CodBod8_trace018:line(Η,Χ)","line(Η,Λ)"
"CodBod8_trace018:line(Α,Χ)","line(Α,Λ)"
"CodBod8_trace018:line(Α,Δ)","line(Α,Δ)"
"CodBod8_trace018:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace018:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace018:line(Ζ,Η)","line(Ζ,Ν)"
"CodBod8_trace018:line(Η,Η)","line(Η,Ν)"
"CodBod8_trace018:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace018:line(Ζ,Θ)","line(Ζ,Θ)"
"CodBod8_trace018:line(Ζ,Χ)","line(Ζ,Λ)"
"CodBod8_trace018:line(Ζ,Κ)","line(Ζ,Κ)"
"CodBod8_trace018:gnomon(Η,Μ)","gnomon(Μ,Ν)"
"CodBod8_trace018:gnomon(Η,Ξ)","gnomon(Ν,Ξ)"
"CodBod8_trace019:line(Α,Β)","line(Α,Β)"
"CodBod8_trace019:line(Β,Η)","line(Β,Η)"
"CodBod8_trace019:line(Α,Η)","line(Α,Η)"
"CodBod8_trace019:line(Γ,Η)","line(Γ,Η)"
"CodBod8_trace019:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace019:line(Ε,Μ)","line(Δ,Κ)"
"CodBod8_trace019:line(Δ,Μ)","line(Ε,Κ)"
"CodBod8_trace019:line(Θ,Μ)","line(Θ,Κ)"
"CodBod8_trace019:line(Ε,Θ)","line(Δ,Θ)"
"CodBod8_trace019:line(Ζ,Θ)","line(Ζ,Θ)"
"CodBod8_trace019:line(Δ,Θ)","line(Ε,Θ)"
"CodBod8_trace019:line(Δ,Ζ)","line(Ε,Ζ)"
"CodBod8_trace020:line(Γ,Δ)","line(Γ,Δ)"
"CodBod8_trace020:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace020:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace020:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace020:line(Δ,Ε)","line(Δ,Ε)"
"CodBod8_trace020:line(Α,Β)","line(Α,Β)"
"CodBod8_trace020:line(Α,Ε)","line(Α,Ε)"
"CodBod8_trace020:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace020:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace020:line(Γ,Ε)","line(Γ,Ε)"
"CodBod8_trace020:line(Θ,Π)","line(Η,Θ)"
"CodBod8_trace020:line(Λ,Π)","line(Η,Λ)"
"CodBod8_trace020:line(Θ,Λ)","line(Θ,Λ)"
"CodBod8_trace020:line(Κ,Λ)","line(Κ,Λ)"
"CodBod8_trace020:line(Θ,Κ)","line(Θ,Κ)"
"CodBod8_trace020:line(Μ,Ν)","line(Μ,Ν)"
"CodBod8_trace020:line(Μ,Ο)","line(Μ,Ο)"
"CodBod8_trace020:line(Ξ,Ο)","line(Ξ,Ο)"
"CodBod8_trace020:line(Ν,Ξ)","line(Ν,Ξ)"
"CodBod8_trace020:line(Ν,Ο)","line(Ν,Ο)"
"CodBod8_trace021:line(Θ,Κ)","line(Θ,Κ)"
"CodBod8_trace021:line(Θ,Λ)","line(Θ,Λ)"
"CodBod8_trace021:line(Κ,Λ)","line(Κ,Λ)"
"CodBod8_trace021:line(Ζ,Μ)","line(Μ,Ξ)"
"CodBod8_trace021:line(Ζ,Ν)","line(Ν,Ξ)"
"CodBod8_trace021:line(Μ,Ν)","line(Μ,Ν)"
"CodBod8_trace021:line(Ο,Π)","line(Ο,Π)"
"CodBod8_trace021:line(Π,Ρ)","line(Π,Ρ)"
"CodBod8_trace021:line(Ο,Ρ)","line(Ο,Ρ)"
"CodBod8_trace021:line(Α,Ν)","line(Α,Η)"
"CodBod8_trace021:line(Δ,Ν)","line(Δ,Η)"
"CodBod8_trace021:line(Ν,Χ)","line(Ζ,Η)"
"CodBod8_trace021:line(Α,Χ)","line(Α,Ζ)"
"CodBod8_trace021:line(Γ,Χ)","line(Γ,Ζ)"
"CodBod8_trace021:line(Δ,Χ)","line(Δ,Ζ)"
"CodBod8_trace021:line(Φ,Χ)","line(Ζ)"
"CodBod8_trace021:line(Δ,Φ)","line(Δ)"
"CodBod8_trace021:line(Ε,Φ)","line(Ε)"
"CodBod8_trace021:line(Β,Φ)","line(Β)"
"CodBod8_trace021:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace021:line(Γ,Ε)","line(Γ,Ε)"
"CodBod8_trace021:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace022:line(Μ,Ν)","line(Μ,Ν)"
"CodBod8_trace022:line(Ζ,Μ)","line(Μ,Ξ)"
"CodBod8_trace022:line(Ζ,Ν)","line(Ν,Ξ)"
"CodBod8_trace022:line(Θ,Λ)","line(Θ,Λ)"
"CodBod8_trace022:line(Κ,Λ)","line(Κ,Λ)"
"CodBod8_trace022:line(Θ,Κ)","line(Θ,Κ)"
"CodBod8_trace022:line(Π,Σ)","line(Ο,Π)"
"CodBod8_trace022:line(Ρ,Σ)","line(Ο,Ρ)"
"CodBod8_trace022:line(Π,Ρ)","line(Π,Ρ)"
"CodBod8_trace022:line(Α,Δ)","line(Α,Δ)"
"CodBod8_trace022:line(Δ,Η)","line(Δ,Η)"
"CodBod8_trace022:line(Δ,Ε)","line(Δ,Ε)"
"CodBod8_trace022:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace022:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace022:line(Γ,Δ)","line(Γ,Δ)"
"CodBod8_trace022:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace022:line(Α,Η)","line(Α,Η)"
"CodBod8_trace022:line(Ε,Η)","line(Ε,Η)"
"CodBod8_trace022:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace022:line(Ε,Ζ)","line(Ε,Ζ)"
"CodBod8_trace022:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace022:line(Γ,Ζ)","line(Γ,Ζ)"
"CodBod8_trace023:circle(Α,Β,Γ,Δ,Ζ,Θ,Κ,Λ,Μ,Ν,Σ,Τ)","circle(Α,Β,Γ,Δ,Ε,Ζ,Η,Θ,Κ,Λ,Μ,Ν)"
"CodBod8_trace023:polygon(Α,Β,Γ,Δ,Ζ,Θ,Κ,Λ,Μ,Ν,Σ,Τ)","polygon(Α,Β,Γ,Δ,Ε,Ζ,Η,Θ,Κ,Λ,Μ,Ν)"
"CodBod8_trace023:line(Α,Ξ)","line(Α,Ξ)"
"CodBod8_trace023:line(Ξ,Ο)","line(Ξ,Ο)"
